date,JWN
2018-07-13,42.4291986887
2018-07-16,42.6324815495
2018-07-17,42.5349057763
2018-07-18,43.1447543585
2018-07-19,43.933491858
2018-07-20,42.7625825803
2018-07-23,43.1772796162
2018-07-24,42.7056633793
2018-07-25,43.4293503635
2018-07-26,42.9577341266
2018-07-27,42.2584410857
2018-07-30,42.681269436
2018-07-31,42.6162189206
2018-08-01,40.8679863184
2018-08-02,41.2664207254
2018-08-03,41.1281883802
2018-08-06,41.4127843852
2018-08-07,41.4615722717
2018-08-08,41.9331885086
2018-08-09,42.7300573226
2018-08-10,42.7544512659
2018-08-13,43.0553098997
2018-08-14,44.6246535845
2018-08-15,42.168996627
2018-08-16,42.510511833
2018-08-17,48.1211187888
2018-08-20,50.0563716228
2018-08-21,49.8856140198
2018-08-22,49.2513714944
2018-08-23,50.4141494577
2018-08-24,50.4629373443
2018-08-27,49.2676341232
2018-08-28,50.4060181433
2018-08-29,49.9100079631
2018-08-30,50.6174323184
2018-08-31,51.406169818
2018-09-04,53.18105269
2018-09-05,53.0256481989
2018-09-06,53.2546653437
2018-09-07,53.7535955519
2018-09-10,53.5654743258
2018-09-11,53.7045204495
2018-09-12,53.8517457568
2018-09-13,53.5572951421
2018-09-14,53.5736535096
2018-09-17,52.4285677857
2018-09-18,52.3958510508
2018-09-19,52.4612845207
2018-09-20,49.917558377
2018-09-21,49.3531946988
2018-09-24,49.0669232678
2018-09-25,48.8624436742
2018-09-26,49.3859114337
2018-09-27,49.091460819
2018-09-28,48.9196979604
2018-10-01,49.5903910273
2018-10-02,47.8809416252
2018-10-03,48.4862012221
2018-10-04,48.5270971408
2018-10-05,49.2877612288
2018-10-08,50.64550573
2018-10-09,50.2201881754
2018-10-10,49.8766624582
2018-10-11,48.4943804059
2018-10-12,50.2938008291
2018-10-15,50.612788995
2018-10-16,51.1689734895
2018-10-17,49.410448985
2018-10-18,49.1650734727
2018-10-19,48.617068162
2018-10-22,49.5004200061
2018-10-23,49.1814318402
2018-10-24,48.4862012221
2018-10-25,50.3019800128
2018-10-26,49.9911710306
2018-10-29,51.1935110407
2018-10-30,54.7187392335
2018-10-31,53.7944914706
2018-11-01,53.5654743258
2018-11-02,54.3833927
2018-11-05,55.0868025018
2018-11-06,55.176773523
2018-11-07,54.3424967813
2018-11-08,54.4242886187
2018-11-09,53.5409367746
2018-11-12,52.5921514606
2018-11-13,52.2731632946
2018-11-14,49.9748126631
2018-11-15,48.2490048936
2018-11-16,41.6565827976
2018-11-19,41.9264958611
2018-11-20,41.7056579001
2018-11-21,42.8016685215
2018-11-23,42.4581428043
2018-11-26,43.0759853946
2018-11-27,43.6526384789
2018-11-28,44.8800857582
2018-11-29,43.0842232958
2018-11-30,43.5537836644
2018-12-03,43.7844448981
2018-12-04,41.8650139176
2018-12-06,41.757921202
2018-12-07,40.6622803419
2018-12-10,40.3986675034
2018-12-11,40.3986675034
2018-12-12,41.3295503394
2018-12-13,40.3410021949
2018-12-14,40.0444377516
2018-12-17,39.2618371372
2018-12-18,39.7973007155
2018-12-19,38.5533776337
2018-12-20,38.0014382531
2018-12-21,36.5103781352
2018-12-24,36.4032854195
2018-12-26,38.5121881277
2018-12-27,38.4380470169
2018-12-28,37.9355350434
2018-12-31,38.3968575109
2019-01-02,39.1135549156
2019-01-03,38.7181356578
2019-01-04,38.6934219542
2019-01-07,39.6737321974
2019-01-08,40.382191701
2019-01-09,40.6046150335
2019-01-10,38.9652726939
2019-01-11,39.0311759035
2019-01-14,38.9487968915
2019-01-15,38.9323210891
2019-01-16,37.0787933182
2019-01-17,37.795490723
2019-01-18,39.1465065204
2019-01-22,38.7758009662
2019-01-23,38.4133333133
2019-01-24,38.4874744241
2019-01-25,38.7840388674
2019-01-28,37.9437729446
2019-01-29,37.8284423278
2019-01-30,37.3835956628
2019-01-31,38.2320994868
2019-02-01,37.3424061568
2019-02-04,37.7460633158
2019-02-05,38.4050954121
2019-02-06,37.9849624507
2019-02-07,38.2320994868
2019-02-08,37.4577367736
2019-02-11,37.3671198604
2019-02-12,37.6883980073
2019-02-13,36.7492772701
2019-02-14,36.1643862846
2019-02-15,36.6092329496
2019-02-19,37.2765029471
2019-02-20,37.070555417
2019-02-21,36.6504224556
2019-02-22,36.2797169015
2019-02-25,36.9140352942
2019-02-26,37.5565915881
2019-02-27,38.9323210891
2019-02-28,38.9487968915
2019-03-01,38.5369018313
2019-03-04,37.4577367736
2019-03-05,37.3424061568
2019-03-06,36.8398941833
2019-03-07,36.8646078869
2019-03-08,36.4527128268
2019-03-11,36.8265442026
2019-03-12,36.9096178417
2019-03-13,36.9428472973
2019-03-14,36.9345399334
2019-03-15,36.336409732
2019-03-18,36.7102411079
2019-03-19,37.0176135725
2019-03-20,36.0954961787
2019-03-21,36.3530244599
2019-03-22,35.6635132555
2019-03-25,36.1702624539
2019-03-26,36.3281023681
2019-03-27,37.0923798476
2019-03-28,36.8182368387
2019-03-29,36.8680810221
2019-04-01,37.3000639453
2019-04-02,36.5025570102
2019-04-03,36.8597736582
2019-04-04,37.8400425993
2019-04-05,37.9148088745
2019-04-08,37.4412891318
2019-04-09,36.6936263801
2019-04-10,37.333293401
2019-04-11,36.4360980989
2019-04-12,36.4111760072
2019-04-15,35.9293489006
2019-04-16,36.1121109065
2019-04-17,36.4111760072
2019-04-18,36.4360980989
2019-04-22,35.0155388707
2019-04-23,34.7081664062
2019-04-24,34.8909284121
2019-04-25,34.1017288409
2019-04-26,34.3841792138
2019-04-29,33.910659471
2019-04-30,34.0768067492
2019-05-01,33.5202133674
2019-05-02,33.6199017342
2019-05-03,33.4703691839
2019-05-06,33.7445121929
2019-05-07,32.7060917044
2019-05-08,33.1713040832
2019-05-09,33.0633083524
2019-05-10,32.7060917044
2019-05-13,31.2356882928
2019-05-14,31.6095196686
2019-05-15,31.0944631063
2019-05-16,30.6790949109
2019-05-17,30.8120127335
2019-05-20,31.119385198
2019-05-21,31.4433723904
2019-05-22,28.5357950228
2019-05-23,28.0871973718
2019-05-24,27.8296690906
2019-05-28,27.3976861674
2019-05-29,26.9324737886
2019-05-30,26.9740106081
2019-05-31,26.3094214955
2019-06-03,26.9818667734
2019-06-04,27.6627176172
2019-06-05,26.8641888497
2019-06-06,26.0992823462
2019-06-07,26.6204274365
2019-06-10,27.3517116762
2019-06-11,27.5954730894
2019-06-12,27.0154890373
2019-06-13,27.4525784678
