date,LM
2018-05-18,35.0881437484
2018-05-21,35.4745176744
2018-05-22,35.4206050336
2018-05-23,35.0881437484
2018-05-24,34.9443767061
2018-05-25,34.8365514245
2018-05-29,34.0098909315
2018-05-30,34.4052502977
2018-05-31,33.4887354034
2018-06-01,33.8032258083
2018-06-04,33.8391675689
2018-06-05,33.4348227625
2018-06-06,33.722356847
2018-06-07,33.8211966886
2018-06-08,33.5965606851
2018-06-11,33.7672840477
2018-06-12,32.7426591559
2018-06-13,32.1079357715
2018-06-14,32.5159722329
2018-06-15,32.615714479
2018-06-18,32.3074202637
2018-06-19,32.4706348483
2018-06-20,32.4252974637
2018-06-21,32.3436901714
2018-06-22,32.5885120482
2018-06-25,32.280217833
2018-06-26,31.8177765101
2018-06-27,31.7633716486
2018-06-28,31.718034264
2018-06-29,31.491347341
2018-07-02,31.3099978026
2018-07-03,30.9926361104
2018-07-05,31.2555929411
2018-07-06,31.1195807873
2018-07-09,31.8812488485
2018-07-10,31.8177765101
2018-07-11,31.0289060181
2018-07-12,30.4485874953
2018-07-13,29.9680112185
2018-07-16,30.0496185108
2018-07-17,30.0586859877
2018-07-18,30.4667224491
2018-07-19,30.3760476799
2018-07-20,30.249103003
2018-07-23,30.7296792798
2018-07-24,30.7478142336
2018-07-25,30.7387467567
2018-07-26,29.6143796187
2018-07-27,29.8410665417
2018-07-30,31.0561084488
2018-07-31,30.9472987258
2018-08-01,29.6143796187
2018-08-02,29.0521960497
2018-08-03,29.2335455881
2018-08-06,29.6778519571
2018-08-07,30.2219005723
2018-08-08,29.9226738339
2018-08-09,29.686919434
2018-08-10,28.9977911882
2018-08-13,28.7620367882
2018-08-14,29.1156683881
2018-08-15,28.5897547268
2018-08-16,28.6260246345
2018-08-17,28.5081474345
2018-08-20,28.7801717421
2018-08-21,28.9433863266
2018-08-22,28.8073741728
2018-08-23,28.7166994037
2018-08-24,28.7076319267
2018-08-27,29.0249936189
2018-08-28,29.0793984804
2018-08-29,29.2244781111
2018-08-30,28.6350921114
2018-08-31,28.2905279884
2018-09-04,27.9640988193
2018-09-05,28.4446750961
2018-09-06,27.9278289117
2018-09-07,27.6558046041
2018-09-10,27.9187614347
2018-09-11,27.5107249734
2018-09-12,27.1752283274
2018-09-13,26.9394739275
2018-09-14,27.8643565732
2018-09-17,27.8462216194
2018-09-18,27.8371541425
2018-09-19,28.789239219
2018-09-20,29.2244781111
2018-09-21,29.242613065
2018-09-24,28.6532270652
2018-09-25,28.2633255577
2018-09-26,28.1545158347
2018-09-27,28.4628100499
2018-09-28,28.3177304192
2018-10-01,28.2814605115
2018-10-02,28.4900124807
2018-10-03,28.8345766036
2018-10-04,28.1998532192
2018-10-05,28.346536461
2018-10-08,28.4840520001
2018-10-09,27.7414680889
2018-10-10,27.2005736351
2018-10-11,26.4763251291
2018-10-12,26.4304866161
2018-10-15,26.6780145865
2018-10-16,27.319753769
2018-10-17,27.5122755237
2018-10-18,26.6138406682
2018-10-19,26.7238530995
2018-10-22,26.2104617535
2018-10-23,25.825418244
2018-10-24,24.8261386599
2018-10-25,25.6879027049
2018-10-26,24.9453187937
2018-10-29,24.9819896042
2018-10-30,25.6695672997
2018-10-31,25.8712567571
2018-11-01,26.3204741848
2018-11-02,25.9262629727
2018-11-05,26.1004493222
2018-11-06,26.1462878353
2018-11-07,26.6963499917
2018-11-08,26.852200936
2018-11-09,26.5221636422
2018-11-12,26.0546108092
2018-11-13,26.1096170248
2018-11-14,25.6603995971
2018-11-15,25.9170952701
2018-11-16,26.1371201327
2018-11-19,25.990436891
2018-11-20,25.5503871658
2018-11-21,25.9262629727
2018-11-23,25.8895921623
2018-11-26,26.5038282369
2018-11-27,26.292971077
2018-11-28,26.7696916125
2018-11-29,26.2196294561
2018-11-30,26.5588344526
2018-12-03,26.4579897239
2018-12-04,25.3486977085
2018-12-06,25.1286728459
2018-12-07,24.8078032546
2018-12-10,24.4869336634
2018-12-11,24.1568963695
2018-12-12,24.3127473139
2018-12-13,23.9002006965
2018-12-14,23.4601509714
2018-12-17,23.680175834
2018-12-18,23.5701634027
2018-12-19,23.1799596727
2018-12-20,22.757139168
2018-12-21,22.5034468651
2018-12-24,22.0900223715
2018-12-26,23.2927118073
2018-12-27,23.7155323121
2018-12-28,23.8470764691
2018-12-31,23.969224615
2019-01-02,24.2417089403
2019-01-03,24.3450650637
2019-01-04,24.9933898376
2019-01-07,25.2094980956
2019-01-08,25.181310062
2019-01-09,25.3692302863
2019-01-10,25.1907060732
2019-01-11,25.0873499498
2019-01-14,25.9705750042
2019-01-15,26.0551391052
2019-01-16,26.6752758455
2019-01-17,26.741047924
2019-01-18,27.3329966307
2019-01-22,27.1920564625
2019-01-23,26.9853442157
2019-01-24,26.9947402269
2019-01-25,27.4551447765
2019-01-28,27.6524610121
2019-01-29,27.3611846644
2019-01-30,27.3517886532
2019-01-31,28.0001134271
2019-02-01,28.0846775281
2019-02-04,27.7652131467
2019-02-05,28.2350137076
2019-02-06,28.0658855057
2019-02-07,28.2819937636
2019-02-08,28.338369831
2019-02-11,28.5920621338
2019-02-12,28.601458145
2019-02-13,28.1880336515
2019-02-14,28.3571618534
2019-02-15,28.7330023021
2019-02-19,28.6296461787
2019-02-20,28.7142102796
2019-02-21,28.4323299431
2019-02-22,28.6578342123
2019-02-25,27.7182330906
2019-02-26,27.4081647205
2019-02-27,28.0940735393
2019-02-28,27.4833328102
2019-03-01,27.2390365185
2019-03-04,27.257828541
2019-03-05,27.1450764064
2019-03-06,26.7880279801
2019-03-07,25.961178993
2019-03-08,26.0269510715
2019-03-11,26.4685635987
2019-03-12,26.609503767
2019-03-13,26.7692359577
2019-03-14,26.9007801147
2019-03-15,27.0605123054
2019-03-18,27.1920564625
2019-03-19,26.9853442157
2019-03-20,26.5437316885
2019-03-21,26.3464154529
2019-03-22,25.7920507911
2019-03-25,25.613526578
2019-03-26,26.1748928737
2019-03-27,26.0797460439
2019-03-28,26.2985837524
2019-03-29,26.041687312
2019-04-01,26.7077151205
2019-04-02,26.926552829
2019-04-03,27.3261695141
2019-04-04,27.6877274673
2019-04-05,28.1349175673
2019-04-08,28.4203580566
2019-04-09,28.9626949864
2019-04-10,30.1805744076
2019-04-11,30.6943672885
2019-04-12,31.1986454863
2019-04-15,31.0178665097
2019-04-16,31.2747629502
2019-04-17,31.3794244629
2019-04-18,31.2367042182
2019-04-22,31.2652482672
2019-04-23,32.0930256863
2019-04-24,31.8266145629
2019-04-25,31.5602034395
2019-04-26,31.9027320267
2019-04-29,32.0073935395
2019-04-30,31.8266145629
2019-05-01,32.1691431501
2019-05-02,32.0073935395
2019-05-03,32.3689514927
2019-05-06,32.3499221267
2019-05-07,32.235745931
2019-05-08,32.2642899799
2019-05-09,32.245260614
2019-05-10,32.4450689565
2019-05-13,31.6172915374
2019-05-14,33.0064352522
2019-05-15,34.5287845288
2019-05-16,34.1672265756
2019-05-17,33.5963455969
2019-05-20,33.9293595011
2019-05-21,35.0996655075
2019-05-22,35.318503216
2019-05-23,35.1091801905
2019-05-24,35.4041353628
2019-05-28,35.1567536054
2019-05-29,35.1662682883
2019-05-30,35.1757829713
2019-05-31,33.8913007692
2019-06-03,33.5963455969
2019-06-04,34.6429607245
2019-06-05,35.0330627266
2019-06-06,35.0425774096
2019-06-07,34.9093718479
2019-06-10,35.1948123373
2019-06-11,35.7276345841
2019-06-12,34.9188865309
2019-06-13,35.0045186777
2019-06-14,34.8998571649
2019-06-17,34.2528587224
2019-06-18,34.5097551628
2019-06-19,34.6619900905
2019-06-20,35.4421940947
2019-06-21,35.2709298011
2019-06-24,34.9188865309
2019-06-25,34.2243146735
2019-06-26,34.433637699
2019-06-27,35.4517087777
2019-06-28,36.4222064415
2019-07-01,36.2509421479
2019-07-02,35.9432418432
2019-07-03,36.3759453967
2019-07-05,36.5009486454
2019-07-08,36.2701734169
2019-07-09,36.6644144323
2019-07-10,36.6451831633
2019-07-11,36.7894176811
