date,ETFC
2019-08-13,41.2521071133
2019-08-14,39.7457652545
2019-08-15,39.627620795
2019-08-16,40.5924672144
2019-08-19,41.0073817004
2019-08-20,40.7702877084
2019-08-21,40.8888347044
2019-08-22,40.8098033737
2019-08-23,39.6144544973
2019-08-26,39.871306322
2019-08-27,39.160024346
2019-08-28,39.7725171587
2019-08-29,40.938229286
2019-08-30,41.234596776
2019-09-03,40.5134358837
2019-09-04,41.11604978
2019-09-05,42.4003089034
2019-09-06,42.4003089034
2019-09-09,43.1906222101
2019-09-10,43.5660210307
2019-09-11,44.0896035964
2019-09-12,44.2871819231
2019-09-13,44.7613699071
2019-09-16,45.3047103054
2019-09-17,44.6131861621
2019-09-18,44.7811277398
2019-09-19,44.5242759151
2019-09-20,44.3662132538
2019-09-23,44.3069397558
2019-09-24,43.4277162021
2019-09-25,43.5857788634
2019-09-26,41.4914486007
2019-09-27,42.7460709751
2019-09-30,43.1609854611
2019-10-01,36.0679235336
2019-10-02,34.7737854939
2019-10-03,35.2183367289
2019-10-04,35.9592554539
2019-10-07,36.7693265933
2019-10-08,36.2358651113
2019-10-09,37.1842410793
2019-10-10,38.4981369517
2019-10-11,39.0019616847
2019-10-14,38.8537779397
2019-10-15,39.367481589
2019-10-16,38.537652617
2019-10-17,38.567289366
2019-10-18,40.3553732224
2019-10-21,40.493678051
2019-10-22,39.9799744017
2019-10-23,40.3948888877
2019-10-24,40.404767804
2019-10-25,40.552951549
2019-10-28,41.4025383537
2019-10-29,41.204960027
2019-10-30,41.8372106724
2019-10-31,41.2839913577
2019-11-01,42.034788999
2019-11-04,42.8152233894
2019-11-05,43.0029227997
2019-11-06,42.9041336364
2019-11-07,43.0819541304
2019-11-08,43.0918648629
2019-11-11,42.8143643532
2019-11-12,43.2900795127
2019-11-13,42.3683813912
2019-11-14,43.2900795127
2019-11-15,44.5487425388
2019-11-18,44.7370464561
2019-11-19,44.5982962012
2019-11-20,45.4506191953
2019-11-21,41.2088256899
2019-11-22,42.0016842891
2019-11-25,43.5081156274
2019-11-26,43.5774907549
2019-11-27,44.0928488443
2019-11-29,43.904544927
