date,DFS
2019-07-11,70.6424142787
2019-07-12,71.2560101342
2019-07-15,71.0281031022
2019-07-16,70.9492122065
2019-07-17,70.1427719392
2019-07-18,71.5540424069
2019-07-19,71.6504646128
2019-07-22,72.1676382624
2019-07-23,74.0522541043
2019-07-24,80.6440267234
2019-07-25,80.4336510016
2019-07-26,81.4417013356
2019-07-29,80.4424166566
2019-07-30,79.811289491
2019-07-31,78.6629886757
2019-08-01,76.804669799
2019-08-02,75.9806982216
2019-08-05,72.9302502542
2019-08-06,73.903237968
2019-08-07,73.4298925937
2019-08-08,74.1837389305
2019-08-09,73.6227370055
2019-08-12,71.4926828214
2019-08-13,72.7111088773
2019-08-14,69.6168326345
2019-08-15,69.2749720865
2019-08-16,70.4320385568
2019-08-19,70.896618276
2019-08-20,69.9060992521
2019-08-21,70.3093193857
2019-08-22,70.229993339
2019-08-23,67.6563038241
2019-08-26,68.8021244986
2019-08-27,68.2997262028
2019-08-28,69.5953849655
2019-08-29,70.5120415051
2019-08-30,70.4855994895
2019-09-03,69.1546847061
2019-09-04,69.9215031575
2019-09-05,72.1161904493
2019-09-06,72.4951926724
2019-09-09,74.4519018242
2019-09-10,74.3196917463
2019-09-11,74.3813897827
2019-09-12,74.4783438397
2019-09-13,74.725135985
2019-09-16,73.6762693676
2019-09-17,73.9495035284
2019-09-18,74.3108777411
2019-09-19,73.8084794454
2019-09-20,73.1033590304
2019-09-23,73.4294772223
2019-09-24,72.2748425427
2019-09-25,72.054492413
2019-09-26,71.7019322055
2019-09-27,71.8429562885
2019-09-30,71.4727680706
2019-10-01,69.5777569551
2019-10-02,67.7003738501
2019-10-03,67.4359536944
2019-10-04,68.6522864104
2019-10-07,68.4848203118
2019-10-08,66.2548769992
2019-10-09,67.1098355024
2019-10-10,67.4271396892
2019-10-11,68.1851441354
2019-10-14,68.5288903377
2019-10-15,69.5865709603
2019-10-16,69.242824758
2019-10-17,69.8333631056
2019-10-18,69.5777569551
2019-10-21,70.8998577333
2019-10-22,71.5256521017
2019-10-23,70.9703697748
2019-10-24,70.2828773702
2019-10-25,70.6354375777
2019-10-28,71.772444247
2019-10-29,71.587350138
2019-10-30,71.5256521017
2019-10-31,70.74120564
2019-11-01,72.0280503974
2019-11-04,72.8565668851
2019-11-05,73.2443831134
2019-11-06,73.3148951549
2019-11-07,74.3461337619
2019-11-08,74.6634379487
2019-11-11,74.1434116426
2019-11-12,74.4342738138
2019-11-13,74.3108777411
2019-11-14,74.7515780006
2019-11-15,74.4959718501
2019-11-18,74.1698536581
2019-11-19,73.9583175336
2019-11-20,73.4206632171
2019-11-21,73.473828071
2019-11-22,74.3156049242
2019-11-25,75.4763709008
2019-11-26,75.0776344966
2019-11-27,75.4232060469
2019-11-29,75.2016858223
2019-12-02,74.4839602949
2019-12-03,73.509271307
2019-12-04,74.1029455087
2019-12-05,73.6599050596
2019-12-06,74.7054805194
2019-12-09,74.6168724296
2019-12-10,75.1928250134
2019-12-11,74.6345940476
2019-12-12,76.5396679785
2019-12-13,76.8054922479
2019-12-16,76.318147754
2019-12-17,76.6548584952
2019-12-18,76.6548584952
